,state,district,stunting_range,uw_range,wasting_range,District_Name
131,GUJARAT,BHARUCH,1,1,1,BHARUCH
132,GUJARAT,THE DANGS,1,1,1,DANG
133,GUJARAT,NAVSARI,0.5,0.5,1,NAVSARI
134,GUJARAT,VALSAD,1,1,1,VALSAD
135,GUJARAT,SURAT,0.5,0.5,1,SURAT
136,GUJARAT,TAPI,0.5,1,1,TAPI
137,HARYANA,PANCHKULA,0,0.5,1,PANCHKULA
138,HARYANA,AMBALA,0,0.5,1,AMBALA
139,HARYANA,YAMUNANAGAR,0.5,0.5,1,YAMUNANAGAR
140,HARYANA,KURUKSHETRA,0.5,0.5,0.5,KURUKSHETRA
141,HARYANA,KAITHAL,0.5,0.5,0.5,KAITHAL
142,HARYANA,KARNAL,1,0.5,0.5,KARNAL
143,HARYANA,PANIPAT,1,1,1,PANIPAT
144,HARYANA,SONIPAT,1,0.5,0.5,SONIPAT
145,HARYANA,JIND,0.5,0.5,1,JIND
146,HARYANA,FATEHABAD,0.5,0.5,0.5,FATEHABAD
147,HARYANA,SIRSA,0.5,0.5,0.5,SIRSA
148,HARYANA,HISAR,0.5,0.5,0.5,HISAR
149,HARYANA,BHIWANI,0.5,0.5,0.5,BHIWANI
150,HARYANA,ROHTAK,0.5,0.5,0,ROHTAK
151,HARYANA,JHAJJAR,0,0.5,0.5,JHAJJAR
152,HARYANA,MAHENDRAGARH,0,0.5,0.5,MAHENDRAGARH
153,HARYANA,REWARI,0.5,0.5,0.5,REWARI
154,HARYANA,GURGAON,1,0.5,0.5,GURGAON
155,HARYANA,MEWAT,1,1,0.5,MEWAT
156,HARYANA,FARIDABAD,0.5,0.5,0.5,FARIDABAD
157,HARYANA,PALWAL,0.5,0.5,0.5,PALWAL
158,HIMACHAL PRADESH,CHAMBA,0.5,0.5,0.5,CHAMBA
159,HIMACHAL PRADESH,KANGRA,0.5,0.5,0,KANGRA
160,HIMACHAL PRADESH,LAHUL &SPITI,0,0,0.5,LAHUL AND SPITI
161,HIMACHAL PRADESH,KULLU,0,0,0,KULLU
162,HIMACHAL PRADESH,MANDI,0.5,0,0,MANDI
163,HIMACHAL PRADESH,UNA,0,0,0,UNA
164,HIMACHAL PRADESH,SOLAN,0.5,0.5,0.5,SOLAN
165,HIMACHAL PRADESH,SIRMAUR,0,0.5,0.5,SIRMAUR
166,HIMACHAL PRADESH,SHIMLA,0.5,0.5,0.5,SHIMLA
167,HIMACHAL PRADESH,KINNAUR,0,0,0,KINNAUR
168,HIMACHAL PRADESH,HAMIRPUR,0.5,0,0,HAMIRPUR
169,HIMACHAL PRADESH,BILASPUR,0.5,0.5,0,BILASPUR
170,JAMMU & KASHMIR,KUPWARA,0.5,0,0,KUPWARA
171,JAMMU & KASHMIR,BADGAM,0,0,0,BADGAM
172,JAMMU & KASHMIR,LEH(LADAKH),0,0,0,LEH LADAKH
173,JAMMU & KASHMIR,KARGIL,0.5,0.5,0,KARGIL
174,JAMMU & KASHMIR,PUNCH,0.5,0.5,0.5,POONCH
175,JAMMU & KASHMIR,RAJOURI,0.5,0.5,0,RAJAURI
176,JAMMU & KASHMIR,KATHUA,0.5,0,0.5,KATHUA
177,JAMMU & KASHMIR,BARAMULA,0.5,0,0,BARAMULLA
178,JAMMU & KASHMIR,BANDIPORE,0,0,0,BANDIPORA
179,JAMMU & KASHMIR,SRINAGAR,0.5,0.5,0.5,SRINAGAR
180,JAMMU & KASHMIR,GANDERBAL,0,0,0,GANDERBAL
181,JAMMU & KASHMIR,PULWAMA,0,0,0,PULWAMA
182,JAMMU & KASHMIR,SHUPIYAN,0,0,0,SHOPIAN
183,JAMMU & KASHMIR,ANANTNAG,0,0,0,ANANTNAG
184,JAMMU & KASHMIR,KULGAM,0,0,0,KULGAM
185,JAMMU & KASHMIR,DODA,0.5,0,0,DODA
186,JAMMU & KASHMIR,RAMBAN,0.5,0,0.5,RAMBAN
187,JAMMU & KASHMIR,KISHTWAR,0.5,0,0.5,KISHTWAR
188,JAMMU & KASHMIR,UDHAMPUR,1,0.5,0,UDHAMPUR
189,JAMMU & KASHMIR,REASI,0.5,0.5,0.5,REASI
190,JAMMU & KASHMIR,JAMMU,0,0,0,JAMMU
191,JAMMU & KASHMIR,SAMBA,0,0,0,SAMBA
192,JHARKHAND,GARHWA,1,1,1,GARHWA
193,JHARKHAND,CHATRA,1,1,1,CHATRA
194,JHARKHAND,KODARMA,1,1,0.5,KODERMA
195,JHARKHAND,GIRIDIH,1,1,0.5,GIRIDIH
196,JHARKHAND,DEOGHAR,1,1,0.5,DEOGHAR
197,JHARKHAND,GODDA,1,1,0.5,GODDA
198,JHARKHAND,SAHIBGANJ,1,1,0.5,SAHEBGANJ
199,JHARKHAND,PAKUR,1,1,0.5,PAKUR
200,JHARKHAND,DHANBAD,0.5,1,1,DHANBAD
201,JHARKHAND,BOKARO,0.5,1,1,BOKARO
202,JHARKHAND,LOHARDAGA,1,1,1,LOHARDAGA
203,JHARKHAND,PURBI SINGHBHUM,0.5,1,1,EAST SINGHBUM
204,JHARKHAND,PALAMU,1,1,0.5,PALAMU
205,JHARKHAND,LATEHAR,1,1,1,LATEHAR
206,JHARKHAND,HAZARIBAGH,1,1,0.5,HAZARIBAGH
207,JHARKHAND,RAMGARH,0.5,1,1,RAMGARH
208,JHARKHAND,DUMKA,1,1,1,DUMKA
209,JHARKHAND,JAMTARA,1,1,1,JAMTARA
210,JHARKHAND,RANCHI,1,1,1,RANCHI
211,JHARKHAND,KHUNTI,1,1,1,KHUNTI
212,JHARKHAND,GUMLA,1,1,1,GUMLA
213,JHARKHAND,SIMDEGA,0.5,1,1,SIMDEGA
214,JHARKHAND,PASHCHIMI SINGHBHUM,1,1,1,WEST SINGHBHUM
215,JHARKHAND,SARAIKELA KHARSAWAN,1,1,0.5,SARAIKELA KHARSAWAN
216,KARNATAKA,BELGAUM,0.5,0.5,1,BELGAUM
217,KARNATAKA,BAGALKOT,1,1,0.5,BAGALKOT
218,KARNATAKA,BIJAPUR,1,0.5,1,BIJAPUR
219,KARNATAKA,BIDAR,1,0.5,0.5,BIDAR
220,KARNATAKA,RAICHUR,0.5,1,1,RAICHUR
221,KARNATAKA,KOPPAL,1,1,1,KOPPAL
222,KARNATAKA,GADAG,0.5,0.5,1,GADAG
223,KARNATAKA,DHARWAD,0.5,1,1,DHARWAD
224,KARNATAKA,UTTARA KANNADA,0.5,0.5,0.5,UTTAR KANNAD
225,KARNATAKA,HAVERI,1,0.5,0.5,HAVERI
